"string","string","string","string","string","string","string","string","string"
"option_1","길드 레벨 7~9","Guild Level 7–9","ギルドレベル7~9","tw","fr","de","cn","es"
"option_1","길드 미가입 또는 길드 레벨 7 미만","No guild or guild level below 7","ギルド加入無しorギルドレベル7未満","tw","fr","de","cn","es"
"option_1","길드 레벨 10","Guild Level 10","ギルドレベル10","tw","fr","de","cn","es"
"option_1","유닛 합계 레벨","Total Unit Level","ユニット合計レベル","tw","fr","de","cn","es"
"option_1","공격력 0~25% 증가","ATK +0–25%","攻撃力0~25%増加","tw","fr","de","cn","es"
"option_1","펫 레벨 합계(미구현)","Total Pet Level (Not implemented)","ペットレベル合計（未実装）","tw","fr","de","cn","es"
"option_1","상세 설정","Advanced Settings","詳細設定","tw","fr","de","cn","es"
"option_1","지속 시간(초)","Duration (seconds)","継続秒数","tw","fr","de","cn","es"
"option_1","시행 횟수","Number of Trials","試行回数","tw","fr","de","cn","es"
"option_1","곱셈 계수","Multiplier","乗算係数","tw","fr","de","cn","es"
"option_1","예: 1.00(기본) / 0.50(절반) / 2.00(2배)","Example: 1.00 (normal) / 0.50 (half) / 2.00 (double)","例: 1.00（通常） / 0.50（半分） / 2.00（2倍）","tw","fr","de","cn","es"
"option_1","익명 설문조사","Anonymous Survey","匿名お客様アンケート","tw","fr","de","cn","es"
"option_1","무엇이든 써 주세요. '이런 기능이 있으면 좋겠다'， '이 캐릭터 DPS 너무 낮지 않아?'，'이 캐릭터의 스킬은 어떤 로직으로 계산되는 거야?' 등 무엇이든 답변해 드립니다. 딱히 없다면 '테스트'라고만 적어 주셔도 괜찮아요!","Please write anything. I want this feature."" ""Isn't this character's DPS low?"" ""How is this character's skill calculated?"" We will answer anything. If you have nothing 'test' is fine!","なんでもお書きください。この機能がほしい。このキャラDPS低くない？このキャラのスキルはどういうロジックで計算している？などなんでも回答します。なければ「テスト」でもいいです！","tw","fr","de","cn","es"
"option_1","전송","send","送信","tw","fr","de","cn","es"
"option_1","답변 완료(클릭 시 전개)","Answered (click to expand)","回答済み（クリックで展開）","tw","fr","de","cn","es"
"option_1","추가","Add","追加","tw","fr","de","cn","es"
"option_1","전용 보물 레벨","Exclusive Treasure Level","専用財宝レベル","tw","fr","de","cn","es"
"option_1","전용 보물","Exclusive Treasure","専用財宝","tw","fr","de","cn","es"
"option_1","ko","Total damage","ダメージ合計","tw","fr","de","cn","es"
"option_1","ko","Simulated Enemy","仮想敵","tw","fr","de","cn","es"
"option_1","모의 적군 HP 감소율（의심스러운）","Simulated Enemy HP reduction rate(QUESTIONABLE)","仮想敵HP削り（信用できないかも）","tw","fr","de","cn","es"
"option_1","자동으로 계산하다","Automatically Calculate","変更時に自動再計算","tw","fr","de","cn","es"
"option_1","공통 옵션","Common options","オプション（共通）","tw","fr","de","cn","es"
"option_1","주요 버프","Main Buff","主要バフ","tw","fr","de","cn","es"
"status_AttackSpeed","공격속도버프","ATK SPD Buff","速度バフ（%）","tw","fr","de","cn","es"
"option_1","SEED","SEED","SEED値","tw","fr","de","cn","es"
"option_1","계산 로그","Calculation Log","計算ログ","tw","fr","de","cn","es"
"option_1","이름","Name","名前","tw","fr","de","cn","es"
"option_1","릴리스 노트","Release Notes","リリースノート","tw","fr","de","cn","es"
"option_1","노말 80W 보스 (HP 2,000,000,000)","Normal 80W Boss (HP 2,000,000,000)","ノーマル80Wボス (HP 2,000,000,000)","tw","fr","de","cn","es"
"option_1","하드 80W 보스 (HP 200,000,000,000)","Hard 80W Boss (HP 200,000,000,000)","ハード80Wボス (HP 200,000,000,000)","tw","fr","de","cn","es"
"option_1","지옥 80W 보스 (HP 20,000,000,000,000)","Hell 80W Boss (HP 20,000,000,000,000)","地獄80Wボス (HP 20,000,000,000,000)","tw","fr","de","cn","es"
"option_1","신 80W 보스 (HP 2,000,000,000,000,000)","God 80W Boss (HP 2,000,000,000,000,000)","神80Wボス (HP 2,000,000,000,000,000)","tw","fr","de","cn","es"
"option_1","kr","GreenTextATK= WhiteTextATK * (PowerPotion + TotalGuardianLevelBuff + PetATK) * MythicalEnhancement * (MoneyGun + ATKBuff) * GuildBlessing","緑字攻撃力 = 白字攻撃力 * (力のポーション + ユニットレベル合計バフ + ペット攻撃力) * 神話強化 * (マネガン + 攻撃力バフ) * ギルド加護","tw","fr","de","cn","es"
"option_1","DamageBuff = OldBook + WizardHat or Bat + (Other Magic or physical damage increase buffs)","DamageBuff = OldBook + WizardHat or Bat + (Other Magic or physical damage increase buffs)","バフ = 秘伝書 + バットor魔法使いの帽子 + その他魔法or物理ダメージ増加バフ","tw","fr","de","cn","es"
"option_1","Damage = TotalBossDMGIncrease * TotalStunDMGBuff * SkillMultiplier * DamageBuff * (WhiteTextATK + GreenTextATK) * PartyCat * DamageIncreasePassive","Damage = TotalBossDMGIncrease * TotalStunDMGBuff * SkillMultiplier * DamageBuff * (WhiteTextATK + GreenTextATK) * PartyCat * DamageIncreasePassive","ダメージ = 対ボスバフ合計 * 対気絶バフ合計 * スキル倍率 * バフ * (白字攻撃力 + 緑字攻撃力) * パテ猫 * ダメージ量増加パッシブ","tw","fr","de","cn","es"
"option_1","DamageIncreasePassives"" refer to things like Hayley's Alien Mythos or Pulse Lv12 Passive","DamageIncreasePassives"" refer to things like Hayley's Alien Mythos or Pulse Lv12 Passive","ja","tw","fr","de","cn","es"
"option_1","측정 시간","measurement time","計測秒数","tw","fr","de","cn","es"
"option_1","와트(궁극 사용 중)","Watt (During ULT)","ワット（究極発動中）","tw","fr","de","cn","es"
"skill_name_150052","파랑 블롭 레벨","Blue Blob Lv","青ブロッブレベル","tw","fr","de","cn","es"
"skill_name_150053","빨강 블롭 레벨","Red Blob Lv","赤ブロッブレベル","tw","fr","de","cn","es"
"skill_name_150054","초록 블롭 레벨","Green Blob Lv","緑ブロッブレベル","tw","fr","de","cn","es"
"option_1","kr","en","ja","tw","fr","de","cn","es"
"option_1","Q. 초등학생 수준도 알 수 있는 사칙연산 식으로 표시해 주시면 도움이 될 것 같습니다.","Q. It would be helpful to have it displayed with an arithmetic expression that even elementary school students can understand.", "小学生レベルでも分かる四則演算式での表示があると助かります","tw","fr","de","cn","es"
"option_1","A. 적절하게 구현하겠습니다.","A. I will implement it well.","A. いい感じに実装します。","tw","fr","de","cn","es"
"option_1","「피해량 증가 패시브」는 헤일리의 이종 신화 수나 펄스 Lv12 패시브 등을 의미합니다","DamageIncreasePassives refers to things like Hailey's Different Mythic Count or Pulse Lv12 passive","「ダメージ量増加パッシブ」はヘイリーの異種神話数やパルスLv12パッシブなどのこと","「傷害量增加被動」是指像海莉的異種神話數或脈衝光教授Lv12被動這類效果","« Passifs d'augmentation des dégâts » désigne des effets comme le nombre de mythiques différents de Hailey ou le passif de Dr Pulse au niv. 12","„Schadenssteigerungs-Passive“ bezeichnet Dinge wie Haileys Anzahl verschiedener Mythics oder Dr. Pulses Lv12-Passiv","「伤害量增加被动」是指像海莉的异种神话数或脉冲光教授Lv12被动这类效果","'Pasivas de aumento de daño' se refiere a cosas como la Cantidad de míticos distintos de Hailey o la pasiva de Dr. Pulse de Nv. 12"
"option_1","영웅", "Guardians","編成","tw","fr","de","cn","es"
"option_1","로딩 중…","Loading…","読み込み中…","tw","fr","de","cn","es"
"option_1","보스 이름","Boss Name","ボス種別","tw","fr","de","cn","es"
"option_1","계산하다","CALCULATE","計算する","tw","fr","de","cn","es"
"option_1","자릿수","digit","桁","tw","fr","de","cn","es"
"option_1","버프 캐릭터 설정 (미구현)","Buff Character Settings (Not Implemented)","バフキャラ設定（未実装）","tw","fr","de","cn","es"
"option_1","영웅 이름","Guardian Name","キャラ名","tw","fr","de","cn","es"
"option_1","영웅","Guardian","キャラ","tw","fr","de","cn","es"
"option_1","영웅 레벨","Guardian Lebvel","キャラレベル","tw","fr","de","cn","es"
"option_1","수","count","数","tw","fr","de","cn","es"
"option_1","ko","en","平均増加量","tw","fr","de","cn","es"
"option_1","ko","en","ペンギン","tw","fr","de","cn","es"
"option_1","ko","en","虎","tw","fr","de","cn","es"
"option_1","ko","Chad","チャド","tw","fr","de","cn","es"
"option_1","ko","Giga Chad","ギガチャド","tw","fr","de","cn","es"
"button_guild_contents_4", "신의 가호", "Divine Blessing", "ギルド加護", "神之庇護", "Bénédiction divine", "Göttlicher Segen", "神之庇护", "Bendición Divina"
"option_1","시드 랜덤화(권장되지 않음)","SEED Randomization (DEPRECATED)","SEEDランダム化（非推奨）","tw","fr","de","cn","es"
"option_1","활성화","Enable","有効化","tw","fr","de","cn","es"
"option_1","비활성화","Disable","無効化","tw","fr","de","cn","es"
"option_1","기본 설정으로도 시뮬레이션 결과의 분산이 충분히 억제되어 있으며, 오히려 캐시를 이용할 수 없는 만큼 동작이 무거워질 가능성이 있으므로 권장하지 않음","The variance of the simulation results is sufficiently suppressed by default, and enabling it is rather discouraged because it may slow down the operation due to the inability to use the cache.","デフォルトで十分シミュレート結果の分散は抑えられており、むしろキャッシュを利用できない分動作が重くなる可能性があるので非推奨","tw","fr","de","cn","es"
"option_1","스킬 모션 후딜레이","Skill animation rigidness","スキルモーション硬直","tw","fr","de","cn","es"
"option_1","기본적으로 고정 32F 경직이지만 탑 베인이나 아이엠냥의 서포트 빔 등은 예외이며, 반올림 처리 관계로 공격 속도가 느리면 변화하지 않음","Basically, it's a fixed 32F rigidness, but there are exceptions like Top Vain and I Am Nyan's support beams. Due to rounding, attack speed doesn't change if it's slow.","基本的に固定32F硬直だがトップヴェインやアイアムニャンのサポートビームなどは例外, 丸め込み処理の関係で攻撃速度が遅いと変化しない","tw","fr","de","cn","es"
"option_1","아이엠 미야옹의 서포트 빔 피해량이 절반이던 문제를 수정 (Lv6에서 22.4%, Lv12에서 27.0% DPS 증가)","Fixed an issue where I Am Meow's Support Beam damage was halved (DPS +22.4% at Lv6, +27.0% at Lv12)","アイアムニャンのサポートビームダメージが半分だった問題を修正（Lv6で22.4%, Lv12で27.0%のDPS増加）","修正鋼鐵喵的支援光束傷害只有一半的問題（Lv6時DPS增加22.4%，Lv12時增加27.0%）","Correction d'un problème où les dégâts de la Poutre de soutien d'Iron Miaou étaient réduits de moitié (DPS +22.4 % au Nv.6, +27.0 % au Nv.12)","Behoben: Der Schaden von Eiserne Miaus Stützbalken war halbiert (DPS +22.4 % auf Lv6, +27.0 % auf Lv12)","修正钢铁喵的支援光束伤害只有一半的问题（Lv6时DPS增加22.4%，Lv12时增加27.0%）","Se corrigió un problema por el que el daño de la Viga de soporte de Miau de hierro era la mitad (DPS +22.4% en Nv.6, +27.0% en Nv.12)"
"option_1","가상 적 설정 수정 및 추가","Adjusted and added virtual enemy settings","仮想敵の設定を修正および追加","修正並新增虛擬敵人設定","Ajustement et ajout des paramètres d'ennemi virtuel","Einstellungen für virtuelle Gegner angepasst und erweitert","修正并新增虚拟敌人设置","Se ajustaron y añadieron ajustes de enemigo virtual"
"option_1","SEED 랜덤화 기능을 상세 설정란에 추가 (기본값 비활성화)","Added SEED randomization to advanced settings (disabled by default)","SEEDランダム化機能を詳細設定欄に追加（デフォルトでは無効）","在詳細設定欄新增SEED隨機化功能（預設為停用）","Ajout de la randomisation SEED dans les paramètres avancés (désactivée par défaut)","SEED-Zufallsfunktion zu den erweiterten Einstellungen hinzugefügt (standardmäßig deaktiviert)","在详细设置栏中新增SEED随机化功能（默认禁用）","Se añadió la aleatorización de SEED a los ajustes avanzados (desactivada por defecto)"
"option_1","스킬 모션의 고정 32F 경직 설정란 추가 (기본값 비활성화)","Added a fixed 32F skill motion rigidness setting (disabled by default)","スキルモーションの固定32F硬直設定欄を追加（デフォルトでは無効）","新增技能動作固定32F硬直設定欄（預設為停用）","Ajout d'un réglage de rigidité fixe à 32F pour les animations de compétence (désactivé par défaut)","Einstellung für feste 32F-Starre bei Skill-Animationen hinzugefügt (standardmäßig deaktiviert)","新增技能动作固定32F硬直设置栏（默认禁用）","Se añadió una opción de rigidez fija de 32F para la animación de habilidad (desactivada por defecto)"
"option_1","전용 보물 레벨이 URL에 올바르게 저장되지 않던 문제 수정","Fixed an issue where Exclusive Treasure Level was not saved correctly in the URL","専用財宝レベルが正しくURLに保存されない問題を修正","修正專用寶物等級無法正確儲存到URL的問題","Correction d'un problème empêchant l'enregistrement correct du niveau de Trésor Exclusif dans l'URL","Behoben: Exklusiver-Schatz-Level wurde nicht korrekt in der URL gespeichert","修正专用宝物等级无法正确保存到URL的问题","Se corrigió un problema por el que el nivel de Tesoro exclusivo no se guardaba correctamente en la URL"
"option_1","여왕 콜디 추가","Added Queen Coldy","女王コルディを追加","新增女王寇蒂","Ajout de Reine Coldy","Königin Coldy hinzugefügt","新增女王寇蒂","Se añadió Reina Coldy"
"option_1","연산량 감소를 위해 내부 캐시 설정","Added internal caching to reduce computation cost","計算量削減のため内部でキャッシュを設定","為降低計算量而加入內部快取","Mise en cache interne ajoutée pour réduire le coût de calcul","Interne Caches zur Reduzierung des Rechenaufwands hinzugefügt","为减少计算量而加入内部缓存","Se añadió caché interna para reducir el coste de cálculo"
"option_1","영어, 한국어 표시 추가","Added English and Korean display","英語、韓国語表示を追加","新增英文、韓文顯示","Ajout de l'affichage en anglais et en coréen","Anzeige auf Englisch und Koreanisch hinzugefügt","新增英文、韩文显示","Se añadió la visualización en inglés y coreano"
"option_1","보스 골라조의 피날레 버프 중 트릭 토큰뿐만 아니라 프라임 서클 발동으로도 버프 지속시간이 연장되던 문제 수정 (Lv6에서 2.48%, Lv12에서 11.00% DPS 감소)","Fixed an issue where, during Boss Birdraw's Finale buff, the buff duration was extended not only by Trick Token but also by Prime Circle triggers (DPS -2.48% at Lv6, -11.00% at Lv12)","ボス選鳥師のフィナーレバフ中にトリックトークンだけでなくプライムサークル発動でもバフ期間が延長されていた問題を修正（Lv6で2.48%, Lv12で11.00%のDPS減少）","修正頭目卡咖鳥在終章增益期間內，不僅詭計代幣，連頂級圓環發動也會延長增益時間的問題（Lv6時DPS降低2.48%，Lv12時降低11.00%）","Correction d'un problème où, pendant le buff Final de Boss Birdraw, la durée du buff était prolongée non seulement par Jeton de triche mais aussi lors de l'activation de Cercle Premier (DPS -2.48 % au Nv.6, -11.00 % au Nv.12)","Behoben: Während des Finale-Buffs von Boss Birdraw wurde die Buffdauer nicht nur durch Trick-Token, sondern auch durch Primkreis-Aktivierungen verlängert (DPS -2.48 % auf Lv6, -11.00 % auf Lv12)","修正头目卡咖鸟在最终章增益期间，不仅诡计代币，连顶级圆环发动也会延长增益持续时间的问题（Lv6时DPS降低2.48%，Lv12时降低11.00%）","Se corrigió un problema por el que, durante el beneficio de Final de Jefe Birdraw, la duración del beneficio se extendía no solo con Ficha de truco sino también al activar Círculo principal (DPS -2.48% en Nv.6, -11.00% en Nv.12)"
"option_1","콜디, 블롭단 구현","Implemented Coldy and Blob Squad","コルディ、ブロッブ団の実装","實裝寇蒂、變形怪軍團","Implémentation de Glacine et de Blob Squad","Frosti und Blob-Trupp implementiert","实装寇蒂、变形怪军团","Se implementaron Coldy y Escuadrón Blob"
"option_1","편성, 주요 버프를 URL에 저장할 수 있도록 추가","Added URL saving for party setup and Main Buff","編成、主要バフをURLに保存できるように追加","新增可將編成與主要增益儲存到URL","Ajout de l'enregistrement dans l'URL pour la composition et les buffs principaux","URL-Speicherung für Aufstellung und Haupt-Buffs hinzugefügt","新增可将编成与主要增益保存到URL","Se añadió el guardado en URL para la formación y el buff principal"
"option_1","연산량 감소를 위해 시뮬레이션 기간을 짧게 설정 (DPS 차이는 1% 미만으로 조정)","Shortened the simulation duration to reduce computation cost (DPS difference adjusted to under 1%)","計算量削減のためシミュレーション期間を短く設定（DPS差異は1%未満に調整）","為降低計算量而縮短模擬期間（將DPS差異調整至1%以下）","Durée de simulation réduite pour diminuer le coût de calcul (écart de DPS ajusté à moins de 1 %)","Simulationsdauer zur Reduzierung des Rechenaufwands verkürzt (DPS-Abweichung auf unter 1 % angepasst)","为减少计算量而缩短模拟时长（将DPS差异调整至1%以内）","Se acortó la duración de la simulación para reducir el coste de cálculo (diferencia de DPS ajustada a menos del 1%)"
"option_1","우치의 세제 효과가 낮게 계산되던 문제 수정","Fixed an issue where Lazy Taoist's Detergent effect was calculated too low","ウチの洗剤効果が低めに計算されていた問題を修正","修正禹治的洗劑效果被算得偏低的問題","Correction d'un problème où l'effet Détergent de Taoïste Flemmard était calculé trop bas","Behoben: Der Detergent-Effekt von Fauler Taoist wurde zu niedrig berechnet","修正宇治的洗剂效果被计算偏低的问题","Se corrigió un problema por el que el efecto de Detergent de Taoísta perezoso se calculaba demasiado bajo"
"option_1","아이언미야옹(v2가 아닌 쪽), 킹 다이안의 세제 효과가 100% 과다 적용되던 문제 수정","Fixed an issue where the Detergent effect for Iron Meow (non-v2) and King Dian was overapplied by 100%","アイアンニャン（v2じゃないほう）, キングダイアンの洗剤効果が100%過剰に適用されていた問題を修正","修正鋼鐵喵（非v2）與大王小骰兵的洗劑效果被過度套用100%的問題","Correction d'un problème où l'effet Détergent d'Iron Miaou (hors v2) et de Roi Dian était appliqué avec un excès de 100 %","Behoben: Der Detergent-Effekt von Eiserne Miau (nicht v2) und König Dian wurde um 100 % zu stark angewendet","修正钢铁喵（非v2）与大王小骰兵的洗剂效果被过度套用100%的问题","Se corrigió un problema por el que el efecto de Detergent de Iron Meow (no v2) y Rey Dian se aplicaba con un exceso del 100%"
"option_1","드레인의 세제 효과의 불꽃/스킬 증가 효과가 반대로 적용되던 문제 수정 (불꽃/스킬이 아니라 스킬/불꽃)","Fixed an issue where Drain's Detergent Flame/Skill increase effects were swapped (applied as Skill/Flame instead of Flame/Skill)","ドレインの洗剤の火花とスキル増加効果が逆（火花/スキルではなくスキル/火花）で適用されていた問題を修正","修正巨龍魔洗劑效果的火花/技能增益效果套用順序相反的問題（不是火花/技能，而是技能/火花）","Correction d'un problème où les effets d'augmentation Brasier/compétence du Détergent d'Anthragon étaient inversés (compétence/Brasier au lieu de Brasier/compétence)","Behoben: Die Flamme-/Fertigkeitsverstärkungen des Detergent-Effekts von Drakonier waren vertauscht (Fertigkeit/Flamme statt Flamme/Fertigkeit)","修正巨龙魔洗剂效果的火花/技能增益效果套用顺序相反的问题（不是火花/技能，而是技能/火花）","Se corrigió un problema por el que los efectos de aumento de Llama/Habilidad de Detergent de Drenar estaban invertidos (Habilidad/Llama en lugar de Llama/Habilidad)"
"option_1","전용 보물","Exclusive Treasure","専用財宝","專用寶物","Trésor Exclusif","Exklusiver Schatz","专用宝物","Tesoro exclusivo"
"option_1","를 추가하고 기본값으로 설정"," added and set as default","を追加しデフォルトの状態として設定","並新增並設為預設狀態"," ajouté et défini par défaut"," hinzugefügt und als Standard festgelegt","并新增并设为默认状态"," añadido y establecido como valor predeterminado"
"option_1","에이스 배트맨 투수의 스트라이크 아웃 평균 발동 횟수, 우치의 적과의 거리(칸 수) 추가","Added Ace Bat Man Pitcher's Average Strike-Out Count and Lazy Taoist's Distance to Enemy (Tiles)","エースバットマン投手のストライクアウト平均発動回数, ウチの敵との距離（マス数）を追加","新增王牌棒棍小子投手的三振出局平均次數、禹治與敵人的距離（格數）","Ajout de la moyenne des retraits sur trois prises d'Ace Batte Man Lanceur et de la distance à l'ennemi (cases) de Taoïste Flemmard","Durchschnittliche Durchgestrichen-Anzahl von Ace Baseballhitter Pitcher und Entfernung zum Gegner (Felder) von Fauler Taoist hinzugefügt","新增王牌棒棍小子投手的三次三振出局平均次数、宇治与敌人的距离（格数）","Se añadieron el promedio de ponches de As del Hombre Murciélago Lanzador y la distancia al enemigo (casillas) de Taoísta perezoso"
"option_1","익명 설문 폼 생성","Created an anonymous survey form","匿名アンケートフォームを作成","建立匿名問卷表單","Création d'un formulaire de sondage anonyme","Anonymes Umfrageformular erstellt","创建匿名问卷表单","Se creó un formulario de encuesta anónima"
"option_1","닥터 펄스의 자폭 피해에 유물 효과가 적용되지 않던 문제 수정","Fixed an issue where Artifact effects did not apply to Dr. Pulse's self-destruct damage","ドクターパルスの自爆ダメージに遺物効果が乗らないミスを修正","修正脈衝光教授的自爆傷害未套用文物效果的問題","Correction d'un problème où les effets de Reliques ne s'appliquaient pas aux dégâts d'autodestruction de Dr Pulse","Behoben: Relikteffekte wurden nicht auf den Selbstzerstörungsschaden von Dr. Pulse angewendet","修正脉冲光教授的自爆伤害未套用文物效果的问题","Se corrigió un problema por el que los efectos de artefacto no se aplicaban al daño de autodestrucción de Dr. Pulse"
"option_1","펫 시스템 구현","Implemented Pet system","ペット実装","實裝寵物系統","Implémentation du système de Pet","Pet-System implementiert","实装宠物系统","Se implementó el sistema de mascotas"
"option_1","측정 시간을 60초 이상으로 clamp하도록 수정","Fixed measurement time to clamp to 60 seconds or more","計測秒数を60秒以上にclampするように修正","修正為將計測秒數clamp到60秒以上","Correction pour forcer la durée de mesure à un minimum de 60 s (clamp)","Behoben: Messzeit wird auf mindestens 60 Sekunden geclamped","修正为将测量时间clamp到60秒以上","Se corrigió para hacer clamp del tiempo de medición a 60 segundos o más"
"option_1","요정활 효과 수치를 2배로 수정","Fixed Fairy Bow effect value to 2x","妖精の弓の効果値を2倍に修正","修正妖精弓箭的效果數值為2倍","Correction de la valeur d'effet de l'Arc des Fées à x2","Effektwert des Feenbogens auf 2x korrigiert","修正妖精弓箭的效果数值为2倍","Se corrigió el valor del efecto de Arco de hadas a x2"
"option_1","릴리스 노트 추가","Added Release Notes","リリースノートの追加","新增版本更新說明","Ajout des notes de version","Versionshinweise hinzugefügt","新增版本更新说明","Se agregaron notas de la versión"
"release_note_v1_4_0_1","선인 쿤 구현","Implemented Sage Kun","仙人クンの実装","","","","",""
"release_note_v1_4_0_2","마스터 쿤/우치 수정","Adjusted Master Kun / Lazy Taoist","マスタークン/ウチの修正","","","","",""
